Expected_jobs,Actual_jobs,City,State
9,66,Alberton,Prince Edward Island
404,400,Charlottetown,Prince Edward Island
397,6,Cornwall,Prince Edward Island
28,29,Georgetown,Prince Edward Island
47,46,Kensington,Prince Edward Island
29,0,Montague,Prince Edward Island
8,9,Souris,Prince Edward Island
384,4,Stratford,Prince Edward Island
104,73,Summerside,Prince Edward Island
88,95,Amherst,Nova Scotia
9,10,Annapolis Royal,Nova Scotia
88,66,Antigonish,Nova Scotia
50,43,Berwick,Nova Scotia
13,12,Bridgetown,Nova Scotia
128,128,Bridgewater,Nova Scotia
3,2,Canso,Nova Scotia
14,13,Clark's Harbour,Nova Scotia
21,23,Digby,Nova Scotia
34,35,Hantsport,Nova Scotia
183,150,Kentville,Nova Scotia
2,2,Lockeport,Nova Scotia
0,0,Louisburg,Nova Scotia
37,41,Lunenburg,Nova Scotia
21,0,Mahone Bay,Nova Scotia
37,35,Middleton,Nova Scotia
50,49,Mulgrave,Nova Scotia
112,90,New Glasgow,Nova Scotia
0,0,Old Bridgeport,Nova Scotia
8,9,Oxford,Nova Scotia
3,3,Parrsboro,Nova Scotia
14,11,Pictou,Nova Scotia
50,0,Port Hawkesbury,Nova Scotia
14,14,Shelburne,Nova Scotia
5,5,Springhill,Nova Scotia
112,22,Stellarton,Nova Scotia
4,4,Stewiacke,Nova Scotia
121,0,Trenton,Nova Scotia
178,162,Truro,Nova Scotia
116,2,Westville,Nova Scotia
45,13,Windsor,Nova Scotia
129,35,Wolfville,Nova Scotia
115,108,Yarmouth,Nova Scotia
105,109,Bathurst,New Brunswick
103,1,Beresford,New Brunswick
35,30,Bouctouche,New Brunswick
102,93,Campbellton,New Brunswick
15,16,Caraquet,New Brunswick
0,5,Carleton,New Brunswick
65,63,Coverdale,New Brunswick
23,21,Dalhousie,New Brunswick
928,807,Dieppe,New Brunswick
101,86,Edmundston,New Brunswick
614,538,Fredericton,New Brunswick
1,1,Grand Bay-Westfield,New Brunswick
46,45,Grand Falls,New Brunswick
46,0,Grand-Sault,New Brunswick
9,8,Hampton,New Brunswick
18,17,Hartland,New Brunswick
8,8,Lamèque,New Brunswick
0,0,Lancaster,New Brunswick
153,119,Miramichi,New Brunswick
1062,27,Moncton,New Brunswick
10,10,Nackawic,New Brunswick
77,64,Oromocto,New Brunswick
0,0,Parrtown,New Brunswick
0,0,Portland,New Brunswick
77,63,Quispamsis,New Brunswick
29,23,Richibucto,New Brunswick
896,0,Riverview,New Brunswick
122,45,Rothesay,New Brunswick
43,41,Sackville,New Brunswick
20,21,Saint Andrews,New Brunswick
478,417,Saint John,New Brunswick
6,6,Saint-Léonard,New Brunswick
5,5,Saint-Quentin,New Brunswick
58,59,Shediac,New Brunswick
9,1,Shippagan,New Brunswick
0,0,Shippegan,New Brunswick
17,16,St. George,New Brunswick
0,0,St. Leonard,New Brunswick
27,24,St. Stephen,New Brunswick
59,54,Sussex,New Brunswick
25,21,Tracadie-Sheila,New Brunswick
34,34,Woodstock,New Brunswick
14,29,Abercorn,Quebec
50,49,Acton Vale,Quebec
147,126,Adamsville,Quebec
0,0,Ahuntsic-Cartierville,Quebec
13,13,Albanel,Quebec
106,97,Alma,Quebec
95,76,Amos,Quebec
20,21,Amqui,Quebec
0,0,Andréville,Quebec
137,118,Ange-Gardien,Quebec
0,1,Angliers,Quebec
2688,1189,Anjou,Quebec
2688,0,Anjou,Quebec
2688,1189,Anjou,Quebec
2688,0,Anjou,Quebec
0,0,Annaville,Quebec
2,9,Armagh,Quebec
408,289,Arthabaska,Quebec
33,33,Asbestos,Quebec
43,42,Aston-Jonction,Quebec
3810,1349,Auteuil,Quebec
1,1,Ayer's Cliff,Quebec
0,0,Ayersville,Quebec
4997,1356,Aylmer,Quebec
110,93,Baie-Comeau,Quebec
1151,1024,Baie-D'Urfé,Quebec
74,354,Baie-Saint-Paul,Quebec
3,3,Baie-Trinité,Quebec
241,179,Baie-de-Shawinigan,Quebec
0,0,Baieville,Quebec
2,2,Barkmere,Quebec
0,0,Barraute,Quebec
0,0,Barville,Quebec
1728,460,Beaconsfield,Quebec
46,41,Beauceville,Quebec
0,0,Beauceville-Est,Quebec
111,78,Beauharnois,Quebec
9,9,Beaulac,Quebec
0,0,Beaulieu,Quebec
4599,1390,Beauport,Quebec
4599,12,Beauport,Quebec
4599,1390,Beauport,Quebec
4599,12,Beauport,Quebec
28,30,Beaupré,Quebec
29,29,Bedford,Quebec
0,0,Beebe Plain,Quebec
0,0,Belle-Plage,Quebec
2,2,Bellefeuille,Quebec
0,0,Belleterre,Quebec
504,419,Beloeil,Quebec
0,0,Bernierville,Quebec
284,217,Berthierville,Quebec
1,1,Bishopton,Quebec
0,0,Black Lake,Quebec
1181,604,Blainville,Quebec
1780,472,Bois-des-Filion,Quebec
2205,2,Boisbriand,Quebec
20,18,Bonaventure,Quebec
59,48,Brome,Quebec
125,98,Bromont,Quebec
21,24,Brompton,Quebec
997,847,Bromptonville,Quebec
3777,1085,Brossard,Quebec
79,72,Brownsburg,Quebec
79,2,Brownsburg-Chatham,Quebec
8,7,Bryson,Quebec
40,38,Buckingham,Quebec
610,553,Bécancour,Quebec
6,6,Cabano,Quebec
0,0,Cadillac,Quebec
0,0,Calumet,Quebec
0,0,Calumet,Quebec
0,0,Calumet,Quebec
0,0,Calumet,Quebec
8,0,Campbell's Bay,Quebec
1609,598,Candiac,Quebec
0,0,Cap-Chat,Quebec
2285,1115,Cap-Rouge,Quebec
65,64,Cap-Santé,Quebec
13,12,Cap-aux-Meules,Quebec
787,1,Cap-de-la-Madeleine,Quebec
0,0,Cap-à-l'Aigle,Quebec
536,319,Carignan,Quebec
76,13,Carillon,Quebec
1,1,Carleton,Quebec
0,0,Carleton--Saint-Omer,Quebec
0,0,Cascades-Point,Quebec
6,4,Causapscal,Quebec
478,6,Chambly,Quebec
14,14,Chandler,Quebec
6,9,Chapais,Quebec
6,6,Chapeau,Quebec
1226,868,Charlemagne,Quebec
4940,1,Charlesbourg,Quebec
4940,0,Charlesbourg,Quebec
4940,1,Charlesbourg,Quebec
4940,0,Charlesbourg,Quebec
2042,12,Charny,Quebec
50,44,Chibougamau,Quebec
426,360,Chicoutimi,Quebec
426,1,Chicoutimi,Quebec
426,360,Chicoutimi,Quebec
426,1,Chicoutimi,Quebec
3,3,Chomedey,Quebec
1,2,Chute-aux-Outardes,Quebec
30,21,Château-Richer,Quebec
1434,692,Châteauguay,Quebec
320,0,Châteauguay-Centre,Quebec
0,0,Châteauguay-Heights,Quebec
3,3,Chénéville,Quebec
28,24,Clarenceville,Quebec
1,1,Clermont,Quebec
53,43,Coaticook,Quebec
33,33,Compton,Quebec
67,51,Contrecoeur,Quebec
46,45,Cookshire,Quebec
46,0,Cookshire-Eaton,Quebec
373,324,Coteau-Landing,Quebec
353,1,Coteau-Station,Quebec
133,19,Cowansville,Quebec
15119,1159,Côte-Saint-Luc,Quebec
0,0,Côte-des-Neiges--Notre-Dame-de-Grâce,Quebec
54,19,Danville,Quebec
17,9,Daveluyville,Quebec
1066,32,Delson,Quebec
3,3,Desbiens,Quebec
0,0,Deschaillons,Quebec
4,4,Deschaillons-sur-Saint-Laurent,Quebec
5,5,Desjardins,Quebec
1129,549,Deux-Montagnes,Quebec
15,26,Disraeli,Quebec
50,2,Dixville,Quebec
34,31,Dolbeau,Quebec
34,0,Dolbeau-Mistassini,Quebec
2251,1,Dollard-Des Ormeaux,Quebec
59,23,Donnacona,Quebec
1,1,Dorion,Quebec
3633,4,Dorval,Quebec
823,706,Drummondville,Quebec
123,0,Dunham,Quebec
0,0,Duparquet,Quebec
6355,44,Duvernay,Quebec
14,11,Dégelis,Quebec
46,0,East Angus,Quebec
20,19,East Broughton Station,Quebec
127,1,East Farnham,Quebec
0,0,East Hatley,Quebec
11,10,Eastman,Quebec
2090,5,Fabreville,Quebec
92,13,Farnham,Quebec
4,4,Ferme-Neuve,Quebec
13,13,Fermont,Quebec
995,5,Fleurimont,Quebec
995,0,Fleurimont,Quebec
995,5,Fleurimont,Quebec
995,0,Fleurimont,Quebec
8,8,Forestville,Quebec
0,0,Fort-Chambly,Quebec
3,3,Fort-Coulonge,Quebec
3,1,Fortierville,Quebec
0,0,Fossambault-sur-le-Lac,Quebec
77,23,Foster,Quebec
0,0,Francoeur,Quebec
62,64,Gaspé,Quebec
5738,731,Gatineau,Quebec
2,2,Godbout,Quebec
1,1,Gracefield,Quebec
1,0,Gracefield,Quebec
1,1,Gracefield,Quebec
1,0,Gracefield,Quebec
584,506,Granby,Quebec
239,27,Grand-Mère,Quebec
4,3,Grande-Rivière,Quebec
1,1,Grandes-Bergeronnes,Quebec
25,5,Grandes-Piles,Quebec
15015,10,Greenfield Park,Quebec
15015,0,Greenfield Park,Quebec
15015,10,Greenfield Park,Quebec
15015,0,Greenfield Park,Quebec
96,83,Grenville,Quebec
96,0,Grenville,Quebec
96,83,Grenville,Quebec
96,0,Grenville,Quebec
15391,1,Hampstead,Quebec
57,24,Hatley,Quebec
0,0,Hauterive,Quebec
14,13,Hemmingford,Quebec
17,0,Henryville,Quebec
36,17,Howick,Quebec
135,121,Hudson,Quebec
6404,0,Hull,Quebec
17,16,Huntingdon,Quebec
1,1,Hébertville-Station,Quebec
692,583,Iberville,Quebec
1,1,Inverness,Quebec
33,0,Jacques-Cartier,Quebec
438,395,Joliette,Quebec
164,110,Jonquière,Quebec
164,0,Jonquière,Quebec
164,110,Jonquière,Quebec
164,0,Jonquière,Quebec
8,8,Kamouraska,Quebec
27,23,Kingsbury,Quebec
35,10,Kingsey Falls,Quebec
35,0,Kingsey Falls,Quebec
35,10,Kingsey Falls,Quebec
35,0,Kingsey Falls,Quebec
1788,0,Kirkland,Quebec
0,0,Knob-Lake,Quebec
1566,3,L'Ancienne-Lorette,Quebec
159,67,L'Ange-Gardien,Quebec
59,50,L'Annonciation,Quebec
413,112,L'Assomption,Quebec
2,2,L'Isle-Verte,Quebec
