Expected_jobs,Actual_jobs,City,State
13,65,Alberton,Prince Edward Island
409,344,Charlottetown,Prince Edward Island
408,1,Cornwall,Prince Edward Island
29,29,Georgetown,Prince Edward Island
129,120,Kensington,Prince Edward Island
29,1,Montague,Prince Edward Island
8,9,Souris,Prince Edward Island
413,92,Stratford,Prince Edward Island
122,8,Summerside,Prince Edward Island
91,92,Amherst,Nova Scotia
10,12,Annapolis Royal,Nova Scotia
91,83,Antigonish,Nova Scotia
78,68,Berwick,Nova Scotia
21,17,Bridgetown,Nova Scotia
129,130,Bridgewater,Nova Scotia
8,5,Canso,Nova Scotia
20,18,Clark's Harbour,Nova Scotia
40,37,Digby,Nova Scotia
51,49,Hantsport,Nova Scotia
225,143,Kentville,Nova Scotia
2,2,Lockeport,Nova Scotia
0,0,Louisburg,Nova Scotia
39,35,Lunenburg,Nova Scotia
164,2,Mahone Bay,Nova Scotia
99,89,Middleton,Nova Scotia
51,49,Mulgrave,Nova Scotia
124,97,New Glasgow,Nova Scotia
0,0,Old Bridgeport,Nova Scotia
8,9,Oxford,Nova Scotia
3,3,Parrsboro,Nova Scotia
122,24,Pictou,Nova Scotia
50,0,Port Hawkesbury,Nova Scotia
23,21,Shelburne,Nova Scotia
6,5,Springhill,Nova Scotia
124,0,Stellarton,Nova Scotia
9,9,Stewiacke,Nova Scotia
120,0,Trenton,Nova Scotia
186,163,Truro,Nova Scotia
125,0,Westville,Nova Scotia
48,3,Windsor,Nova Scotia
188,5,Wolfville,Nova Scotia
116,107,Yarmouth,Nova Scotia
106,109,Bathurst,New Brunswick
113,4,Beresford,New Brunswick
44,35,Bouctouche,New Brunswick
102,92,Campbellton,New Brunswick
17,18,Caraquet,New Brunswick
19,14,Carleton,New Brunswick
1027,929,Coverdale,New Brunswick
25,25,Dalhousie,New Brunswick
1073,16,Dieppe,New Brunswick
103,93,Edmundston,New Brunswick
627,542,Fredericton,New Brunswick
10,10,Grand Bay-Westfield,New Brunswick
44,44,Grand Falls,New Brunswick
44,0,Grand-Sault,New Brunswick
27,29,Hampton,New Brunswick
19,18,Hartland,New Brunswick
8,8,Lamèque,New Brunswick
0,0,Lancaster,New Brunswick
153,117,Miramichi,New Brunswick
1072,1,Moncton,New Brunswick
10,11,Nackawic,New Brunswick
90,64,Oromocto,New Brunswick
0,0,Parrtown,New Brunswick
0,0,Portland,New Brunswick
129,88,Quispamsis,New Brunswick
30,24,Richibucto,New Brunswick
1068,1,Riverview,New Brunswick
537,425,Rothesay,New Brunswick
43,40,Sackville,New Brunswick
20,22,Saint Andrews,New Brunswick
508,6,Saint John,New Brunswick
6,6,Saint-Léonard,New Brunswick
5,5,Saint-Quentin,New Brunswick
66,67,Shediac,New Brunswick
9,0,Shippagan,New Brunswick
0,0,Shippegan,New Brunswick
18,17,St. George,New Brunswick
0,0,St. Leonard,New Brunswick
27,24,St. Stephen,New Brunswick
62,57,Sussex,New Brunswick
32,28,Tracadie-Sheila,New Brunswick
51,50,Woodstock,New Brunswick
15,33,Abercorn,Quebec
73,72,Acton Vale,Quebec
781,684,Adamsville,Quebec
0,0,Ahuntsic-Cartierville,Quebec
16,16,Albanel,Quebec
115,107,Alma,Quebec
96,79,Amos,Quebec
20,21,Amqui,Quebec
0,0,Andréville,Quebec
545,377,Ange-Gardien,Quebec
0,0,Angliers,Quebec
19919,1359,Anjou,Quebec
19919,2,Anjou,Quebec
19919,1359,Anjou,Quebec
19919,2,Anjou,Quebec
0,0,Annaville,Quebec
7,32,Armagh,Quebec
438,312,Arthabaska,Quebec
58,48,Asbestos,Quebec
63,57,Aston-Jonction,Quebec
6261,1155,Auteuil,Quebec
238,177,Ayer's Cliff,Quebec
0,0,Ayersville,Quebec
6936,1404,Aylmer,Quebec
113,99,Baie-Comeau,Quebec
2698,1238,Baie-D'Urfé,Quebec
79,353,Baie-Saint-Paul,Quebec
3,3,Baie-Trinité,Quebec
261,186,Baie-de-Shawinigan,Quebec
0,0,Baieville,Quebec
54,40,Barkmere,Quebec
0,0,Barraute,Quebec
0,0,Barville,Quebec
3346,2,Beaconsfield,Quebec
382,303,Beauceville,Quebec
0,0,Beauceville-Est,Quebec
874,382,Beauharnois,Quebec
54,44,Beaulac,Quebec
0,0,Beaulieu,Quebec
6331,1391,Beauport,Quebec
6331,1,Beauport,Quebec
6331,1391,Beauport,Quebec
6331,1,Beauport,Quebec
44,41,Beaupré,Quebec
46,36,Bedford,Quebec
0,0,Beebe Plain,Quebec
0,0,Belle-Plage,Quebec
2,2,Bellefeuille,Quebec
0,0,Belleterre,Quebec
1297,949,Beloeil,Quebec
0,0,Bernierville,Quebec
318,236,Berthierville,Quebec
35,34,Bishopton,Quebec
0,0,Black Lake,Quebec
2250,744,Blainville,Quebec
5948,0,Bois-des-Filion,Quebec
5036,0,Boisbriand,Quebec
21,19,Bonaventure,Quebec
271,71,Brome,Quebec
