Actual_jobs,City,State
15,Tonasket,Washington
3,Sunnyside,Washington
1,Lakeview,Washington
0,Carbonado,Washington
0,Pullman,Washington
2,Blyn,Washington
5,Brinnon,Washington
78,Friday Harbor,Washington
3,Orchards,Washington
3,Purdy,Washington
24,Tekoa,Washington
1,Tanner,Washington
0,Thorp,Washington
3,Artondale,Washington
4,Liberty Lake,Washington
1,Cheney,Washington
0,Sammamish,Washington
0,Cle Elum,Washington
1,Fern Prairie,Washington
1,Waverly,Washington
2,Lakewood,Washington
1,Lake Marcel-Stillwater,Washington
0,Central Park,Washington
9,Bridgeport,Washington
2,Larch Way,Washington
6,Lake Bosworth,Washington
0,Barberton,Washington
4,Sekiu,Washington
4,Brier,Washington
0,Spokane,Washington
2,Fall City,Washington
1,Pasco,Washington
1,Lyman,Washington
2,Oakville,Washington
0,Dash Point,Washington
4,Herron Island,Washington
0,West Clarkston-Highland,Washington
2,Royal City,Washington
1,Venersborg,Washington
0,Hoquiam,Washington
0,Willapa,Washington
10,Quilcene,Washington
8,Freeland,Washington
0,McCleary,Washington
0,Roosevelt,Washington
71,Long Beach,Washington
3,Trout Lake,Washington
3,Coulee Dam,Washington
2,Pine Grove,Washington
6,Langley,Washington
0,Sedro-Woolley,Washington
7,Hatton,Washington
2,Entiat,Washington
2,Bainbridge Island,Washington
5,Auburn,Washington
0,Ocean City,Washington
0,White Swan,Washington
0,Felida,Washington
1,Lacey,Washington
5,Gold Bar,Washington
6,Clyde Hill,Washington
0,Marcus,Washington
0,Malone,Washington
0,Bothell East,Washington
0,Yarrow Point,Washington
2,Steptoe,Washington
0,West Richland,Washington
8,Orient,Washington
4,Federal Way,Washington
0,Pe Ell,Washington
17,Bothell,Washington
0,South Wenatchee,Washington
257,Snoqualmie Pass,Washington
8,Hartline,Washington
0,Lake Forest Park,Washington
0,Crocker,Washington
286,Elbe,Washington
0,Ravensdale,Washington
0,Arlington,Washington
2,McChord AFB,Washington
10,Lebam,Washington
2,Lynden,Washington
0,Coupeville,Washington
11,Prescott,Washington
0,South Bend,Washington
0,Mabton,Washington
0,North Bend,Washington
4,Grapeview,Washington
0,Garfield,Washington
0,Rochester,Washington
23,Dayton,Washington
0,Algona,Washington
22,Mineral,Washington
1,Moclips,Washington
0,Bellingham,Washington
1,Vader,Washington
0,Tracyton,Washington
0,White Salmon,Washington
0,Peaceful Valley,Washington
0,East Renton Highlands,Washington
4,Metaline,Washington
0,Deming,Washington
2,Medical Lake,Washington
0,Aberdeen,Washington
0,Chehalis,Washington
0,Onalaska,Washington
0,Toledo,Washington
0,Everson,Washington
0,Belfair,Washington
0,Lynnwood,Washington
0,Colton,Washington
3,Malden,Washington
1,Ames Lake,Washington
0,Wilson Creek,Washington
0,North Yelm,Washington
1,Mirrormont,Washington
1,Town and Country,Washington
0,Tokeland,Washington
0,Snoqualmie,Washington
2,Bremerton,Washington
0,East Cathlamet,Washington
0,Fort Lewis,Washington
1,Salmon Creek,Washington
60,Skykomish,Washington
1,Tacoma,Washington
2,Monroe,Washington
1,Loomis,Washington
14,Pomeroy,Washington
1,Brush Prairie,Washington
0,Silver Firs,Washington
0,Nespelem,Washington
3,Meadowdale,Washington
1232,Shadow Lake,Washington
11,LaCrosse,Washington
0,Concrete,Washington
0,Sumas,Washington
0,Ruston,Washington
1,La Center,Washington
14,Marrowstone,Washington
0,Chelan Falls,Washington
0,Lake Cavanaugh,Washington
0,Sequim,Washington
0,Benton City,Washington
0,Moses Lake,Washington
1,Fircrest,Washington
0,Othello,Washington
3,Mercer Island,Washington
2,Enumclaw,Washington
0,Chico,Washington
1,Enetai,Washington
2,Hunts Point,Washington
4,Clinton,Washington
0,Hat Island,Washington
0,Marietta-Alderwood,Washington
0,Waitsburg,Washington
0,Sunnyslope,Washington
0,South Cle Elum,Washington
3,Selah,Washington
12,Lind,Washington
0,Five Corners,Washington
12,Winthrop,Washington
0,Normandy Park,Washington
1,Home,Washington
4,Graham,Washington
2,Yacolt,Washington
19,Packwood,Washington
2,Queets,Washington
0,Finley,Washington
11,Northport,Washington
0,Medina,Washington
0,Browns Point,Washington
1,Summit,Washington
0,Albion,Washington
0,Sudden Valley,Washington
0,Gleed,Washington
1,Maryhill,Washington
1,Alder,Washington
0,Ridgefield,Washington
0,Bryant,Washington
0,Nisqually Indian Community,Washington
0,Kettle Falls,Washington
0,Chelan,Washington
2,Edison,Washington
8,Neilton,Washington
1,Fox Island,Washington
3,Renton,Washington
1,Baring,Washington
1,Hobart,Washington
13,Wallula,Washington
10,Touchet,Washington
6,Leavenworth,Washington
0,Fobes Hill,Washington
8,Harrington,Washington
2,Port Orchard,Washington
0,Alderwood Manor,Washington
2,Kennewick,Washington
1,Ahtanum,Washington
1,Machias,Washington
0,Bingen,Washington
1,Four Lakes,Washington
5,Springdale,Washington
7,Washtucna,Washington
1,Covington,Washington
0,Allyn,Washington
3,North Sultan,Washington
1,Union Gap,Washington
0,Shelton,Washington
108,Chinook,Washington
1,Blaine,Washington
12,Port Hadlock-Irondale,Washington
5,Burley,Washington
0,Mount Vernon,Washington
2,Electric City,Washington
0,Ronald,Washington
0,Nespelem Community,Washington
2,Amanda Park,Washington
0,Clarkston Heights-Vineland,Washington
1,Boulevard Park,Washington
0,Big Lake,Washington
0,Boyds,Washington
1,Parkwood,Washington
2,Deer Park,Washington
0,Humptulips,Washington
0,SeaTac,Washington
0,Maple Valley,Washington
0,Millwood,Washington
0,Point Roberts,Washington
2,Dixie,Washington
1,East Port Orchard,Washington
9,Morton,Washington
0,Alger,Washington
0,Kahlotus,Washington
1,Fife Heights,Washington
0,Cherry Grove,Washington
0,Clearview,Washington
402,Greenwater,Washington
0,Picnic Point,Washington
0,Kendall,Washington
3,Seabeck,Washington
4,Startup,Washington
4,Steilacoom,Washington
6,Lamont,Washington
0,Bay View,Washington
9,Valley,Washington
0,North Marysville,Washington
1,Brady,Washington
3,May Creek,Washington
0,Clear Lake,Washington
10,Keller,Washington
4,Redmond,Washington
0,Ilwaco,Washington
4,Mountlake Terrace,Washington
0,Parker,Washington
0,Soap Lake,Washington
0,Grand Mound,Washington
0,Manchester,Washington
0,Verlot,Washington
0,North Omak,Washington
0,Naches,Washington
0,Summitview,Washington
7,Prosser,Washington
0,Naselle,Washington
0,Rock Island,Washington
17,Goldendale,Washington
0,Maltby,Washington
0,Oak Harbor,Washington
6,Endicott,Washington
0,Mill Creek East,Washington
0,Maple Heights-Lake Desire,Washington
0,Midland,Washington
1,Kingston,Washington
0,Esperance,Washington
0,Grays River,Washington
0,Sultan,Washington
1,La Grande,Washington
11,Ritzville,Washington
0,Malott,Washington
5,Coulee City,Washington
0,Raymond,Washington
0,Wollochet,Washington
0,Quincy,Washington
0,Walla Walla East,Washington
0,Hamilton,Washington
0,Woodinville,Washington
0,Bay Center,Washington
29,Port Townsend,Washington
0,Riverside,Washington
0,Woodway,Washington
0,Stevenson,Washington
0,Ocean Park,Washington
0,Port Angeles,Washington
1,Bonney Lake,Washington
11,Oroville,Washington
0,Garrett,Washington
3,Otis Orchards-East Farms,Washington
3,Warm Beach,Washington
0,Conway,Washington
0,College Place,Washington
0,Eastmont,Washington
0,Maple Falls,Washington
0,Ephrata,Washington
0,Buena,Washington
1,Tumwater,Washington
10,Desert Aire,Washington
3,Mukilteo,Washington
9,Twisp,Washington
1,Lake Shore,Washington
0,Keyport,Washington
0,Lake Stevens,Washington
3,Starbuck,Washington
0,Harrah,Washington
6,Hansville,Washington
0,Carlsborg,Washington
0,Yelm,Washington
944,Fenwick Island,Delaware
785,Delmar,Delaware
1093,Ardencroft,Delaware
669,Farmington,Delaware
388,Felton,Delaware
1,Hartly,Delaware
554,Pike Creek,Delaware
5,Millville,Delaware
1,Highland Acres,Delaware
0,Rising Sun-Lebanon,Delaware
1,Little Creek,Delaware
0,Magnolia,Delaware
4,Greenville,Delaware
1,Elsmere,Delaware
0,Harrington,Delaware
1,Seaford,Delaware
0,Dover Base Housing,Delaware
0,Dagsboro,Delaware
5,Milford,Delaware
1,Bridgeville,Delaware
1,Bellefonte,Delaware
4,Smyrna,Delaware
3,Wilmington Manor,Delaware
1,New Castle,Delaware
0,Bowers,Delaware
1,Bethel,Delaware
0,Selbyville,Delaware
0,Houston,Delaware
0,Woodside East,Delaware
0,Viola,Delaware
30,Dewey Beach,Delaware
0,Newport,Delaware
0,Bethany Beach,Delaware
1,Edgemoor,Delaware
0,Townsend,Delaware
0,Georgetown,Delaware
0,Kenton,Delaware
0,Greenwood,Delaware
0,North Star,Delaware
0,Slaughter Beach,Delaware
12,Middletown,Delaware
0,Blades,Delaware
0,Frederica,Delaware
0,Rehoboth Beach,Delaware
0,Milton,Delaware
0,Woodside,Delaware
1,Bear,Delaware
1,Wilmington,Delaware
1,Pike Creek Valley,Delaware
0,Rodney Village,Delaware
0,Henlopen Acres,Delaware
0,Frankford,Delaware
0,Millsboro,Delaware
4,Glasgow,Delaware
0,Clayton,Delaware
0,Cheswold,Delaware
5,Odessa,Delaware
0,Kent Acres,Delaware
1,St. Georges,Delaware
0,Ardentown,Delaware
0,Arden,Delaware
0,Ellendale,Delaware
0,Lewes,Delaware
1,Laurel,Delaware
1,Brookside,Delaware
0,Wyoming,Delaware
1,Claymont,Delaware
0,Newark,Delaware
0,Long Neck,Delaware
0,Camden,Delaware
0,Leipsic,Delaware
1,Delaware City,Delaware
0,Ocean View,Delaware
0,South Bethany,Delaware
0,Hockessin,Delaware
0,Riverview,Delaware
0,Dover,Delaware
1222,Washington,District of Columbia
269,Stone Lake,Wisconsin
205,Nelson,Wisconsin
353,Fennimore,Wisconsin
1017,Chenequa,Wisconsin
893,Helenville,Wisconsin
620,Tichigan,Wisconsin
1060,Kekoskee,Wisconsin
759,Wonewoc,Wisconsin
792,St. Peter,Wisconsin
304,Black River Falls,Wisconsin
1129,Shiocton,Wisconsin
254,Three Lakes,Wisconsin
721,Waldo,Wisconsin
0,North Prairie,Wisconsin
168,Mattoon,Wisconsin
939,Almond,Wisconsin
619,New Auburn,Wisconsin
36,Hustisford,Wisconsin
426,Little Chute,Wisconsin
762,Birnamwood,Wisconsin
1106,Lodi,Wisconsin
165,Whitehall,Wisconsin
482,West Baraboo,Wisconsin
3,Lomira,Wisconsin
1,Brownsville,Wisconsin
637,Bloomer,Wisconsin
24,Wabeno,Wisconsin
775,Whitewater,Wisconsin
596,Reedsville,Wisconsin
9,Amherst,Wisconsin
509,Monona,Wisconsin
1213,River Falls,Wisconsin
610,Delavan,Wisconsin
582,Greendale,Wisconsin
20,Couderay,Wisconsin
698,Berlin,Wisconsin
343,Grantsburg,Wisconsin
3,Burnett,Wisconsin
17,Lakewood,Wisconsin
370,Wausau,Wisconsin
156,Livingston,Wisconsin
183,Hillsboro,Wisconsin
50,Exeland,Wisconsin
6,Whitelaw,Wisconsin
1,East Troy,Wisconsin
651,Oconto,Wisconsin
4,Elkhorn,Wisconsin
0,Nashotah,Wisconsin
20,Rewey,Wisconsin
154,Ferryville,Wisconsin
373,Neillsville,Wisconsin
4,Sun Prairie,Wisconsin
96,Wilton,Wisconsin
347,Eleva,Wisconsin
215,Menomonie,Wisconsin
1,Wales,Wisconsin
530,Manitowoc,Wisconsin
3,Ashippun,Wisconsin
96,New Lisbon,Wisconsin
2,Sauk City,Wisconsin
245,Pulcifer,Wisconsin
1,New Berlin,Wisconsin
7,Milladore,Wisconsin
126,Mason,Wisconsin
0,Oconomowoc Lake,Wisconsin
223,Independence,Wisconsin
504,Maribel,Wisconsin
32,Oak Creek,Wisconsin
1,Van Dyne,Wisconsin
65,Pence,Wisconsin
11,Saukville,Wisconsin
0,Clyman,Wisconsin
27,Wild Rose,Wisconsin
1,Reedsburg,Wisconsin
5,Patch Grove,Wisconsin
928,Paddock Lake,Wisconsin
4,New Holstein,Wisconsin
3,Lake Hallie,Wisconsin
187,Hewitt,Wisconsin
21,Menomonee Falls,Wisconsin
0,Eastman,Wisconsin
100,Pella,Wisconsin
7,Princeton,Wisconsin
729,Melvina,Wisconsin
27,Peshtigo,Wisconsin
252,Lake Tomahawk,Wisconsin
42,Long Lake,Wisconsin
2,Maple Bluff,Wisconsin
0,Mishicot,Wisconsin
0,Iron Ridge,Wisconsin
0,Johnson Creek,Wisconsin
0,Juneau,Wisconsin
5,Kohler,Wisconsin
1,Thornton,Wisconsin
0,Seymour,Wisconsin
0,Brandon,Wisconsin
0,Camp Douglas,Wisconsin
4,Hatley,Wisconsin
3,Lake Ripley,Wisconsin
42,Bruce,Wisconsin
539,Hammond,Wisconsin
275,Maiden Rock,Wisconsin
240,Wind Point,Wisconsin
55,Minong,Wisconsin
135,Lewis,Wisconsin
16,Arkdale,Wisconsin
1,Wautoma,Wisconsin
37,Black Earth,Wisconsin
386,Kewaunee,Wisconsin
134,Cumberland,Wisconsin
2,North Bay,Wisconsin
0,Tilleda,Wisconsin
10,Iron Belt,Wisconsin
1,Deerfield,Wisconsin
2,DeForest,Wisconsin
162,Fountain City,Wisconsin
2,Bancroft,Wisconsin
5,Rothschild,Wisconsin
5,Poy Sippi,Wisconsin
17,New London,Wisconsin
1,Plum City,Wisconsin
646,Lancaster,Wisconsin
0,Rockdale,Wisconsin
579,Doylestown,Wisconsin
0,Wyeville,Wisconsin
133,Cassville,Wisconsin
8,Wauwatosa,Wisconsin
19,Casco,Wisconsin
0,Theresa,Wisconsin
434,Centuria,Wisconsin
1,Caledonia,Wisconsin
0,Mole Lake,Wisconsin
11,Edgar,Wisconsin
0,Nekoosa,Wisconsin
0,Sullivan,Wisconsin
0,Greenleaf,Wisconsin
13,Tony,Wisconsin
0,Junction City,Wisconsin
2,Bohners Lake,Wisconsin
95,Rockland,Wisconsin
16,Boscobel,Wisconsin
0,Chili,Wisconsin
46,Kennan,Wisconsin
0,Plover,Wisconsin
1,Hatfield,Wisconsin
0,Bell Center,Wisconsin
12,Antigo,Wisconsin
1,Rome,Wisconsin
19,Spencer,Wisconsin
2,Lake Delton,Wisconsin
2,Hixton,Wisconsin
8,Cadott,Wisconsin
1,Hingham,Wisconsin
0,Cornell,Wisconsin
65,Port Wing,Wisconsin
0,Oakdale,Wisconsin
0,Sussex,Wisconsin
0,Galesville,Wisconsin
0,Dellwood,Wisconsin
0,Middle Village,Wisconsin
1,Cochrane,Wisconsin
1,Muskego,Wisconsin
0,Greenwood,Wisconsin
7,Whitefish Bay,Wisconsin
1,Altoona,Wisconsin
1,Vesper,Wisconsin
0,Rice Lake,Wisconsin
0,Columbus,Wisconsin
0,Campbellsport,Wisconsin
1,New Post,Wisconsin
0,Warrens,Wisconsin
3,Marshall,Wisconsin
1,Allenton,Wisconsin
695,Brodhead,Wisconsin
2,Elk Mound,Wisconsin
8,Clam Lake,Wisconsin
9,Germantown,Wisconsin
0,Bloomington,Wisconsin
13,Crivitz,Wisconsin
1,Wittenberg,Wisconsin
17,Danbury,Wisconsin
1,Drummond,Wisconsin
0,Gilmanton,Wisconsin
2,Mazomanie,Wisconsin
0,Poynette,Wisconsin
3,Fairchild,Wisconsin
2,Elm Grove,Wisconsin
5,Laona,Wisconsin
3,Plymouth,Wisconsin
0,Port Washington,Wisconsin
0,Krakow,Wisconsin
0,Howards Grove,Wisconsin
177,Spring Green,Wisconsin
0,Mount Hope,Wisconsin
2,Omro,Wisconsin
5,Kaukauna,Wisconsin
1,Woodman,Wisconsin
0,Bellevue,Wisconsin
0,Legend Lake,Wisconsin
7,Cambria,Wisconsin
0,Fort Atkinson,Wisconsin
7,Bay City,Wisconsin
0,River Hills,Wisconsin
1,Loyal,Wisconsin
2,Fitchburg,Wisconsin
0,Norwalk,Wisconsin
0,Chippewa Falls,Wisconsin
0,Burlington,Wisconsin
3,Appleton,Wisconsin
4,Edgerton,Wisconsin
1,Scandinavia,Wisconsin
4,Sturtevant,Wisconsin
0,Knowlton,Wisconsin
0,Elroy,Wisconsin
0,Rosholt,Wisconsin
0,Chilton,Wisconsin
5,Barneveld,Wisconsin
1,Arcadia,Wisconsin
4,Coon Valley,Wisconsin
0,Franklin,Wisconsin
0,Blue River,Wisconsin
7,Montreal,Wisconsin
20,West Bend,Wisconsin
2,Elmwood Park,Wisconsin
3,Athens,Wisconsin
6,New Richmond,Wisconsin
8,Baileys Harbor,Wisconsin
0,Merrimac,Wisconsin
0,Oregon,Wisconsin
2,Downing,Wisconsin
12,Catawba,Wisconsin
0,Bowler,Wisconsin
1,Wisconsin Rapids,Wisconsin
6,Cuba City,Wisconsin
7,Webster,Wisconsin
0,Lone Rock,Wisconsin
4,Pittsville,Wisconsin
3,Shorewood Hills,Wisconsin
0,Fox Point,Wisconsin
0,Winter,Wisconsin
1,Lake Geneva,Wisconsin
0,Coleman,Wisconsin
3,Springfield,Wisconsin
9,Marengo,Wisconsin
0,Siren,Wisconsin
0,Argonne,Wisconsin
3,Packwaukee,Wisconsin
3,Dodgeville,Wisconsin
0,Marathon City,Wisconsin
0,St. Joseph,Wisconsin
1,Cascade,Wisconsin
7,Turtle Lake,Wisconsin
0,Green Valley,Wisconsin
11,Beloit,Wisconsin
0,Bear Creek,Wisconsin
101,Glen Haven,Wisconsin
0,South Milwaukee,Wisconsin
0,Hager City,Wisconsin
5,Saxon,Wisconsin
1,Green Bay,Wisconsin
397,Browntown,Wisconsin
2,Barron,Wisconsin
0,Prairie du Sac,Wisconsin
0,Suamico,Wisconsin
1,Hancock,Wisconsin
0,Ettrick,Wisconsin
4,Ridgeland,Wisconsin
2,Stockholm,Wisconsin
1,Weyauwega,Wisconsin
0,Cross Plains,Wisconsin
0,Jackson,Wisconsin
0,Barronett,Wisconsin
0,Okauchee Lake,Wisconsin
1,Cobb,Wisconsin
0,Eagle,Wisconsin
0,Eagle Lake,Wisconsin
81,Tomahawk,Wisconsin
0,Ripon,Wisconsin
2,Gordon,Wisconsin
11,Merrill,Wisconsin
0,Potter,Wisconsin
1,Lac La Belle,Wisconsin
6,Cottage Grove,Wisconsin
0,Ashwaubenon,Wisconsin
3,Balsam Lake,Wisconsin
104,Curtiss,Wisconsin
3,Glenbeulah,Wisconsin
0,Taycheedah,Wisconsin
0,Hartford,Wisconsin
0,St. Cloud,Wisconsin
1,Milton,Wisconsin
4,West Salem,Wisconsin
1,Tigerton,Wisconsin
41,Washburn,Wisconsin
0,Adell,Wisconsin
3,Wausaukee,Wisconsin
28,Phillips,Wisconsin
169,Goodman,Wisconsin
0,Jefferson,Wisconsin
0,Spring Valley,Wisconsin
2,White Lake,Wisconsin
0,Verona,Wisconsin
0,Fox Lake,Wisconsin
1,Valders,Wisconsin
0,Wauzeka,Wisconsin
0,Hurley,Wisconsin
0,Madison,Wisconsin
2,West Allis,Wisconsin
0,Hustler,Wisconsin
0,Amery,Wisconsin
0,Caroline,Wisconsin
0,Reeseville,Wisconsin
1,Iron River,Wisconsin
1,Bagley,Wisconsin
5,Gratiot,Wisconsin
7,Osceola,Wisconsin
0,Neopit,Wisconsin
2,New Glarus,Wisconsin
2,Stanley,Wisconsin
69,Stetsonville,Wisconsin
7,Montello,Wisconsin
1,Prentice,Wisconsin
0,Mondovi,Wisconsin
2,Herbster,Wisconsin
0,Clayton,Wisconsin
5,Como,Wisconsin
1,Brown Deer,Wisconsin
7,Woodruff,Wisconsin
0,Boaz,Wisconsin
0,Marquette,Wisconsin
1,Endeavor,Wisconsin
1,Mauston,Wisconsin
982,Oliver,Wisconsin
1,Howard,Wisconsin
0,Port Edwards,Wisconsin
4,Westboro,Wisconsin
0,Gays Mills,Wisconsin
0,Sobieski,Wisconsin
2,Spooner,Wisconsin
1,Elderon,Wisconsin
2,Big Bend,Wisconsin
1,Lannon,Wisconsin
1,Glen Flora,Wisconsin
1,Eureka,Wisconsin
48,Poplar,Wisconsin
0,Sturgeon Bay,Wisconsin
0,Tainter Lake,Wisconsin
0,Abbotsford,Wisconsin
1,Harrison,Wisconsin
5,Darien,Wisconsin
10,Glidden,Wisconsin
0,Sheldon,Wisconsin
0,Kimberly,Wisconsin
0,Greenbush,Wisconsin
0,Iola,Wisconsin
0,Yuba,Wisconsin
0,North Fond du Lac,Wisconsin
2,Allouez,Wisconsin
10,Dunbar,Wisconsin
0,Auburndale,Wisconsin
0,Soldiers Grove,Wisconsin
0,La Farge,Wisconsin
0,McFarland,Wisconsin
0,Waumandee,Wisconsin
0,Potosi,Wisconsin
0,Fall River,Wisconsin
1,Cambridge,Wisconsin
0,Gresham,Wisconsin
2,Zoar,Wisconsin
0,Wrightstown,Wisconsin
0,Two Rivers,Wisconsin
537,Somerset,Wisconsin
0,Delavan Lake,Wisconsin
8,Clintonville,Wisconsin
0,Stoddard,Wisconsin
4,Benton,Wisconsin
0,Wisconsin Dells,Wisconsin
0,Rhinelander,Wisconsin
2,Redgranite,Wisconsin
0,Taylor,Wisconsin
0,Sextonville,Wisconsin
1,Rock Springs,Wisconsin
0,Angelica,Wisconsin
1,Coloma,Wisconsin
0,Fond du Lac,Wisconsin
0,Dousman,Wisconsin
5,Thorp,Wisconsin
0,Cameron,Wisconsin
0,Rib Lake,Wisconsin
0,Richland Center,Wisconsin
5,Somers,Wisconsin
0,Osseo,Wisconsin
1,Frederic,Wisconsin
0,Oakfield,Wisconsin
0,Alma,Wisconsin
0,Cable,Wisconsin
0,Potter Lake,Wisconsin
1,Bangor,Wisconsin
5,Kenosha,Wisconsin
0,Marion,Wisconsin
0,Kiel,Wisconsin
0,Dickeyville,Wisconsin
0,Dalton,Wisconsin
1,Augusta,Wisconsin
